id,name,url
560,Seoul Bike Sharing Demand,https://archive.ics.uci.edu/static/public/560/data.csv
563,Iranian Churn,https://archive.ics.uci.edu/static/public/563/data.csv
565,Bone marrow transplant: children,https://archive.ics.uci.edu/static/public/565/data.csv
567,COVID-19 Surveillance,https://archive.ics.uci.edu/static/public/567/data.csv
571,HCV data,https://archive.ics.uci.edu/static/public/571/data.csv
572,Taiwanese Bankruptcy Prediction,https://archive.ics.uci.edu/static/public/572/data.csv
579,Myocardial infarction complications,https://archive.ics.uci.edu/static/public/579/data.csv
582,Student Performance on an Entrance Examination,https://archive.ics.uci.edu/static/public/582/data.csv
591,Gender by Name,https://archive.ics.uci.edu/static/public/591/data.csv
597,Productivity Prediction of Garment Employees,https://archive.ics.uci.edu/static/public/597/data.csv
601,AI4I 2020 Predictive Maintenance Dataset,https://archive.ics.uci.edu/static/public/601/data.csv
602,Dry Bean,https://archive.ics.uci.edu/static/public/602/data.csv
603,In-Vehicle Coupon Recommendation,https://archive.ics.uci.edu/static/public/603/data.csv
697,Predict Students' Dropout and Academic Success,https://archive.ics.uci.edu/static/public/697/data.csv
713,Auction Verification,https://archive.ics.uci.edu/static/public/713/data.csv
722,NATICUSdroid (Android Permissions),https://archive.ics.uci.edu/static/public/722/data.csv
728,Toxicity,https://archive.ics.uci.edu/static/public/728/data.csv
732,DARWIN,https://archive.ics.uci.edu/static/public/732/data.csv
755,Accelerometer Gyro Mobile Phone,https://archive.ics.uci.edu/static/public/755/data.csv
759,Glioma Grading Clinical and Mutation Features,https://archive.ics.uci.edu/static/public/759/data.csv
760,Multivariate Gait Data,https://archive.ics.uci.edu/static/public/760/data.csv
763,Land Mines,https://archive.ics.uci.edu/static/public/763/data.csv
799,Single Elder Home Monitoring: Gas and Position,https://archive.ics.uci.edu/static/public/799/data.csv
827,Sepsis Survival Minimal Clinical Records,https://archive.ics.uci.edu/static/public/827/data.csv
848,Secondary Mushroom,https://archive.ics.uci.edu/static/public/848/data.csv
849,Power Consumption of Tetouan City,https://archive.ics.uci.edu/static/public/849/data.csv
850,Raisin,https://archive.ics.uci.edu/static/public/850/data.csv
851,Steel Industry Energy Consumption,https://archive.ics.uci.edu/static/public/851/data.csv
856,Higher Education Students Performance Evaluation,https://archive.ics.uci.edu/static/public/856/data.csv
857,Risk Factor Prediction of Chronic Kidney Disease,https://archive.ics.uci.edu/static/public/857/data.csv
863,Maternal Health Risk,https://archive.ics.uci.edu/static/public/863/data.csv
864,Room Occupancy Estimation,https://archive.ics.uci.edu/static/public/864/data.csv
878,Cirrhosis Patient Survival Prediction,https://archive.ics.uci.edu/static/public/878/data.csv
880,SUPPORT2,https://archive.ics.uci.edu/static/public/880/data.csv
887,National Health and Nutrition Health Survey 2013-2014 (NHANES) Age Prediction Subset,https://archive.ics.uci.edu/static/public/887/data.csv
890,AIDS Clinical Trials Group Study 175,https://archive.ics.uci.edu/static/public/890/data.csv
891,CDC Diabetes Health Indicators,https://archive.ics.uci.edu/static/public/891/data.csv
911,Recipe Reviews and User Feedback,https://archive.ics.uci.edu/static/public/911/data.csv
913,Forty Soybean Cultivars from Subsequent Harvests,https://archive.ics.uci.edu/static/public/913/data.csv
915,Differentiated Thyroid Cancer Recurrence,https://archive.ics.uci.edu/static/public/915/data.csv
925,Infrared Thermography Temperature,https://archive.ics.uci.edu/static/public/925/data.csv
936,National Poll on Healthy Aging (NPHA),https://archive.ics.uci.edu/static/public/936/data.csv
938,Regensburg Pediatric Appendicitis,https://archive.ics.uci.edu/static/public/938/data.csv
942,RT-IoT2022 ,https://archive.ics.uci.edu/static/public/942/data.csv
967,PhiUSIIL Phishing URL (Website),https://archive.ics.uci.edu/static/public/967/data.csv
